timestamp,cell_voltage,cell_current,panel_voltage,panel_current,panel_power,cell_temp,panel_temp,battery_soc
1777024827.454,1.4917,0.9991,15.4788,0.1956,2.884,40.9,44.98,0.9506
1777025427.454,1.4871,1.0019,15.5391,0.1843,3.183,41.57,45.69,0.9481
1777026027.454,1.484,1.0047,16.1198,0.472,7.468,42.18,46.57,0.9513
1777026627.454,1.4805,1.0092,16.1446,0.4569,7.57,42.98,47.28,0.9502
1777027227.454,1.4815,1.0142,15.7951,0.3457,5.298,43.5,47.29,0.9499
1777027827.454,1.4889,1.0153,16.0617,0.5118,7.995,43.75,48.01,0.951
1777028427.454,1.4846,0.9954,16.0725,0.5306,8.572,44.18,48.15,0.9543
1777029027.454,1.4924,1.008,16.0518,0.5364,8.656,44.64,48.88,0.9492
1777029627.454,1.4825,0.9857,16.0182,0.5386,8.572,45.2,49.57,0.9551
1777030227.454,1.4816,0.9986,16.0753,0.5374,8.905,45.28,49.4,0.9518
1777030827.454,1.4848,0.9817,15.9746,0.5303,8.273,45.43,49.71,0.9517
1777031427.454,1.4796,1.0135,15.9796,0.5462,8.479,45.51,50.05,0.9506
1777032027.454,1.486,0.9918,15.9966,0.5501,8.615,45.44,50.07,0.9526
1777032627.454,1.4843,1.0046,15.4609,0.2501,4.255,45.81,50.06,0.9477
1777033227.454,1.4893,1.0153,15.9765,0.5419,8.76,45.79,49.92,0.9498
1777033827.454,1.4835,0.9912,16.0648,0.5843,9.243,45.85,50.15,0.9499
1777034427.454,1.4817,1.0049,16.0409,0.5996,9.286,45.61,49.43,0.9497
1777035027.454,1.4887,0.9914,16.016,0.5633,9.008,45.6,49.83,0.9512
1777035627.454,1.4897,1.0003,16.0033,0.5595,8.57,45.43,50.12,0.9507
1777036227.454,1.4883,1.0007,16.0701,0.5598,8.883,45.49,48.98,0.9509
1777036827.454,1.4858,0.9927,16.0295,0.5318,8.26,44.65,49.4,0.9521
1777037427.454,1.4848,1.0096,16.0636,0.5169,8.43,44.7,49.07,0.9498
1777038027.454,1.4908,0.984,16.0661,0.5219,8.389,44.12,48.58,0.9515
1777038627.454,1.4849,0.9929,16.131,0.5293,8.486,44.03,47.78,0.9476
1777039227.454,1.4902,1.0094,16.1769,0.5311,8.55,43.23,47.56,0.951
1777039827.454,1.4991,1.0052,16.1955,0.5168,8.423,42.75,46.04,0.9502
1777040427.454,1.4817,0.9901,16.2192,0.4981,8.115,42.17,45.91,0.9489
1777041027.454,1.4895,0.9869,16.1842,0.4874,7.805,41.5,46.03,0.9513
1777041627.454,1.4903,1.0119,16.224,0.4599,7.531,40.94,44.61,0.9494
1777042227.454,1.4883,0.9974,16.2458,0.4484,7.152,39.83,44.34,0.9497
1777042827.454,1.486,0.9925,16.3131,0.4406,7.332,39.38,43.09,0.9511
1777043427.454,1.4906,1.0051,16.2436,0.4101,6.581,38.34,41.93,0.9521
1777044027.454,1.4835,1.0084,16.3328,0.375,6.544,37.41,41.81,0.9534
1777044627.454,1.4899,1.0196,15.4444,0.1311,2.018,36.79,41.49,0.9499
1777045227.454,1.496,0.9937,16.3728,0.3721,5.941,35.9,40.2,0.9554
1777045827.454,1.4962,0.9884,16.3944,0.33,5.504,34.73,38.85,0.9515
1777046427.454,1.4839,0.9945,16.3736,0.2985,5.183,33.83,38.28,0.9497
1777047027.454,1.4774,1.0063,16.4285,0.3157,4.801,33.1,36.79,0.9511
1777047627.454,1.4858,1.0079,16.4994,0.3024,4.823,31.75,35.88,0.9532
1777048227.454,1.4842,0.9997,16.483,0.2743,4.44,30.73,34.69,0.9495
1777048827.454,1.4834,1.0062,16.4205,0.2552,3.8,29.98,33.93,0.9444
1777049427.454,1.4864,1.013,16.4331,0.2147,3.315,28.31,32.68,0.9508
1777050027.454,1.4891,1.0101,15.9713,0.0958,1.692,27.52,31.57,0.9511
1777050627.454,1.4937,1.0004,15.9171,0.0826,1.452,26.39,30.24,0.9468
1777051227.454,1.4937,1.0103,16.318,0.1446,2.323,25.1,29.41,0.9489
1777051827.454,1.4899,0.9925,15.4745,0.0446,0.678,23.9,28.55,0.9375
1777052427.454,1.4904,0.995,16.2191,0.0827,1.674,23.13,27.09,0.9392
1777053027.454,1.4968,0.998,15.2193,0.0408,0.369,21.34,25.82,0.9202
1777053627.454,1.4889,1.0033,15.8278,0.0602,0.702,20.27,23.84,0.9056
1777054227.454,1.488,0.991,15.3473,0.0294,0.393,19.16,23.27,0.8951
